channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC3d_8LhMCYir5GUu5_B3J5Q,71456,40739,77173,55450,1.26,1.84,0.52,500,26.32,285,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC3EnbFx6mBs2QPJ_BYqQm6g,65682,26119,56108,106623,1,1.32,2.01,3000,18.95,401,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑",NULL
UC406mRyBRckVwCg5eFyOl3g,78834,57036,37621,94070,1.2,1.09,7.51,2800,73.01,226,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","음식 & 음료","일상 & 라이프스타일"
UC4Ei5ZBrqNt3Bxn0b1BMDLA,4987,NULL,15361,2506,3,1.52,0,0,80.7,57,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","피트니스 & 다이어트","피트니스 & 다이어트"
UC4PAS3ck6trKI0RsM2Nskew,49874,20282,39137,84369,0.74,2.92,-0.74,-1000,23.74,396,NULL,"리뷰 & 언박싱",브이로그,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UC4Z-_an4FmdRx0NPJ5l6TyQ,5502,5286,5172,6209,1.99,1.34,1.95,300,31.78,236,NULL,하울,하울,"패션 & 의류","패션 & 의류","뷰티 & 메이크업","일상 & 라이프스타일"
UC52QG9bNVkCtIiyBzbAcmuA,7029,11031,6824,7285,1.2,1.2,10.65,3100,56.36,110,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","피트니스 & 다이어트","여행 & 캠핑"
UC54h7i-hxGEXEQzA6-F4X1Q,14864,10352,15990,13878,0.55,0.59,1.18,300,53.32,392,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC57_jVZTM427hTqYMXf7utA,62160,43100,68342,35989,0.23,0.49,-0.91,-2000,19.11,560,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC5BqeEsHJnYM4O4xvWJK3Cg,6382,7567,1550,7284,1.12,0.68,7.2,430,84.26,521,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"음식 & 음료"
UC5TJGSApJo7dM52PMBpKYew,7670,7247,7973,7507,1.27,0.64,4.85,390,65,440,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"여행 & 캠핑"
UC6tdphV_Mvup6TubaYh28FA,230170,92448,10027,249357,2.27,0.63,16.04,17000,91.98,474,NULL,코미디,코미디,코미디,코미디,NULL,"음식 & 음료"
UC7bsnxoyZMvmUfjSi1uFdSg,15722,12371,12839,18349,1.47,0.54,8.26,1000,52.33,514,NULL,튜토리얼,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC7nQoFbEw-8bHadehobhQfg,12489,15838,NULL,12489,NULL,NULL,22.73,250,100,114,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"취미 & 공예 & 디자인"
UC7sGH3zB5r7eNaiRk0adSLQ,5372,2726,1721,6489,2.07,4.77,21.28,179,76.58,222,NULL,꿀팁,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
UC8iCWlmhzRfMaXAp8oZGlXQ,5332,3400,2384,6665,2.03,4.06,20.45,360,68.87,212,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"피트니스 & 다이어트"
UC8mGHaFortDaza2-8apjtCw,25360,NULL,2459,30356,0.34,0.32,-1.79,-80,82.09,67,NULL,NULL,"리뷰 & 언박싱",NULL,"취미 & 공예 & 디자인",NULL,"음식 & 음료"
UC8NPfG0bZGBybcJIg9ajpAA,4459,1860,4784,4100,1,1.81,4.39,100,47.52,101,NULL,브이로그,브이로그,"일상 & 라이프스타일","뷰티 & 메이크업","교육 & 커리어","일상 & 라이프스타일"
