channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,마른파이브,NULL,NULL,CAnL2fkKL3s,6864,168,83,2145000,2024-12-14,312.5,"예쁘고 핏좋은 겨울 방한 필수템 13가지❄️₊·*🧤 (양기모.기모 스타킹ㅣ겨울 포인트 컬러스타킹ㅣ따뜻·편안·핏예쁜 기모 티셔츠&브라탑ㅣ만능이너ㅣ카리나목도리ㅣ어그부츠ㅣ장갑) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,하트퍼센트,NULL,NULL,CErfbdzKHfQ,3695,114,10,2145000,2024-02-17,580.514,"ASMR🩷1초만 봐도 예쁜 립추천 4️⃣탄 #오버립 #웜톤메이크업 #올리브영추천 #하트퍼센트"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,cqU-V8GJtz8,4546,92,6,2145000,2024-02-23,471.843,"첫 인상 각인 알려드림!🩷 #내추럴메이크업 #디어제리쿠션 #글로우쿠션 #힐어스쿠션"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,루트리,NULL,NULL,DmZ1noAVlHk,9928,103,20,2145000,2023-06-01,216.056,"뷰티회사5️⃣년차의 올영세일 찐❗️추천템 ㅣ공병인증 기초템추천ㅣ여름모공앰플추천ㅣ루트리 오디 앰플ㅣ넘버즈인 초록패드.물막선크림.진정크림.클렌징ㅣ토너패드ㅣ올리브영 추천템ㅣ가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,dofJfj2HQPg,49475,1899,22,2145000,2024-04-13,43.3552,"코랄 쓰면 답답해 보이는 사람 손🙌 정석 코랄🧡메이크업 이렇게 하세요!"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,이니스프리,NULL,NULL,dTJJekhg_NU,3600,24,3,2145000,2025-04-10,595.833,"요즘 나의 추구피부는? 환한 피부로 봄 나들이 가기🌼 귀여움 주의..⚠️🐤"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,EBE7Njsr_Sc,1868,50,11,2145000,2022-02-14,1148.29,"발렌타인데이 찰떡 초콜릿 메이크업🍫ㅣ데이지크 초콜릿퍼지 메이크업ㅣ페리페라 잉크더벨벳 신상컬러ㅣ하파크리스틴 시스루 크리스틴 애쉬브라운ㅣ웜톤 데일리 메이크업ㅣ가을스런_Gaeul"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,eitxRHYQ2QU,5713,168,11,2145000,2023-11-02,375.459,"속쌍 눈매교정 총정리💜미지근 모브 컬러링까지! #어바웃톤 #눈매교정 #속쌍 #무쌍 #리턴투베이직섀도우팔레트"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,에뛰드,NULL,NULL,er2sWfhhf1Y,7184,84,0,2145000,2021-06-04,298.58,"신상✨에뛰드X레오제이 더스티캣🐾웜톤 쿨톤 체인지+쿨톤메이크업/리얼쿨톤팔레트/뮤트쿨톤/여쿨/겨쿨/cool tone palette/아이메이크업/가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,ezwrpM0I65k,2471,29,5,2145000,2022-05-16,868.07,"[요청GRWM] 청초함 가득🌸인스타 셀피 메이크업(with.딸로)ㅣ요즘 잘쓰는 메이크업템 추천ㅣ청자몽 잡티세럼.진정크림ㅣ데이지크 에어블러핏 쿠션ㅣ셀카 잘나오는 법ㅣ가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,F-DDqPKHuFc,2599,40,33,2145000,2023-07-14,825.317,"💇🏻‍♀️10초만에 머릿결 부드러워 지실래요??+살롱사용 향기좋은 트리트먼트템ㅣ머릿결 좋아지는 홈케어 관리법ㅣ노워시트리트먼트 추천ㅣ무백 포밍 에센스ㅣ가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,FDR6H_foEEM,4300,105,5,2145000,2024-08-15,498.837,"ep.20 지금 나갈라고 : 입추룩🍂*여름도 가능!!"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,하파크리스틴,NULL,NULL,FLKCDiK24Mc,39874,443,42,2145000,2023-07-21,53.7945,"갓기💕원영이가 착용한 렌즈 다➿리뷰하기(feat.하파크리스틴)ㅣ신상✨비터스윗,원앤온리,슈거하이,듀이,시크리티브 크리스틴ㅣ셀카 잘 나오는 인생렌즈 추천ㅣ렌즈추천리뷰ㅣ가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,롱테이크,NULL,NULL,GB7OJ5O5ePs,25342,443,83,3022500,2025-05-10,119.268,"봄𓂃여름까지🍉17가지 지그재그 하울 (청순 데일리 초여름 코디ㅣ뽀용🫧여리 파스텔 가디건ㅣ가성비 백추천ㅣ꾸안꾸·데이트룩ㅣ살안타템ㅣ다리 길어보이는 데님ㅣ향기템추천ㅣ이벤트) 가을스런"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,NULL,NULL,NULL,GuhZ11XkFqY,2667,41,0,2145000,2023-11-27,804.274,"유리알 피부🫧 만드는 역대급 할인템🩷 #올리브영세일 #12월올영세일 #아이소이 #잡티세럼"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,썸플레이스,NULL,NULL,GxqOO3g3mN0,5665,125,49,2145000,2023-02-18,378.641,"💞키치, 힙, 데일리 다 모았다〰️신상 봄룩북(feat.썸플레이스)ㅣ개강룩북ㅣ인생 트레이닝복ㅣ무신사ㅣ룩북•패션하울ㅣ봄코디•봄하울ㅣ가을스런_gaeul"
UCc3lx0-oWbbNkr7owjeQYrg,가을스런_Gaeul,넘버즈인,NULL,NULL,huh96x9yeM0,5410,53,18,2145000,2023-09-23,396.488,"100%보장❗️피부 좋아지는 가을 인생템(feat.하루만 써봐도 피부 좋아보임+간증후기)ㅣ스킨케어 제품 추천ㅣ광채토너.세럼.마스크팩까지ㅣ올리브영 환절기 스킨케어ㅣ가을스런"
