제니하우스 코스메틱	제니하우스	4405	1
매일의 친구 데이메이트	데이메이트	171896	1
바디럽-Bodyluv	바디럽	4398	1
타입넘버 TYPE No.	타입넘버	3783	1
Snowpeak_outdoor	스노우피크	78432	1
ETUDE 에뛰드	에뛰드	81	1
에잇세컨즈 - 8seconds	에잇세컨즈	3136	1
케어존 - Carezone	케어존	146450	1
LANEIGE 라네즈	라네즈	80	1
ASYOU 환인제약 애즈유	애즈유	165345	1
MERIDA-Seoul	서울시	414	1
기능성 유산균 바이크롬	바이크롬	90568	1
효지 - HYOJI	효지	147738	1
INGA 잉가	잉가	62125	1
Now Speak English Online	스픽	351	1
삼성화재 N잡 크루	삼성화재	33178	1
래피즈 - REPIZ	래피즈	165314	1
하나금융그룹 (Hana Financial Group)	하나금융그룹	41754	1
AI Catch: AI Video APP	캐치	99234	1
Columbia Sportswear	컬럼비아	308	1
인생 속옷 by 바디코	바디코	61042	1
롯데웰푸드 - LOTTE Wellfood	롯데웰푸드	49321	1
Bclose 비클로즈	비클로즈	165988	1
Montbell de foret	몽벨	689	1
Lukt Kindy	룩트	146247	1
바잇미 - Bite me	바잇미	164920	1
다신샵&다이어트신 - 다이어트 맛있게 관리하자	다신샵	14717	1
Nooni Skincare	누니	168609	1
투쿨포스쿨(too cool for school)	투쿨포스쿨	342	1
아이레시피 irecipe jp	아이레시피	66612	1
OFRAME.by raf	오프레임	153893	1
BJJ Fanatics Online Store	파나틱스	164401	1
아티드 ATD	아티드	40973	1
Meunder - 미언더	미언더	156963	1
sheen_seoul.ss	서울시	414	1
피클플러스 PicklePlus	피클플러스	108460	1
Objet by Kundal	쿤달	694	1
flow.jeans	플로우	57712	1
Emma Mattress - 엠마 매트리스	Emma	34019	1
Nesh 네쉬	네쉬	3841	1
아파트멘터리 Apartmentary	아파트멘터리	42051	1
셀로딘-celodin	셀로딘	155076	1
웅진 스마트올	웅진	686	1
차일드라이프 with 온누리스토어	온누리스토어	64497	1
Travelling summer	트래블링	50306	1
윌슨 테니스	윌슨	62416	1
sigongsa_books	시공사 출판사	156190	1
TRUU 童	TRUU	97333	1
맛집 레뷰	레뷰	130726	1
Evercell 에버셀	에버셀	118262	1
