branded_page_name,brand_name_kr,brand_logo_id,ad_count
글램피크,글램피크,78429,10
LIZDA,리즈다,4530,10
VOVA 보바,명성,66268,10
핑거수트,핑거수트,97116,10
Dorelan - 돌레란,돌레란,165909,9
배리웨이 variway,배리웨이,165931,9
Lactiv.official,락티브,33213,9
파티온,파티온,3733,9
Masmarulez,마스마룰즈,165163,9
마플,마플,53430,9
모두닥 건강검진,모두닥,154147,9
UNOVE 어노브,어노브,3215,9
엔젤앤비,엔젤앤비,163351,9
에블린,에블린,62119,9
하나투어,하나투어,3931,9
올리브영,올리브영,30,9
Teo and the 태오앤더,태오앤더,166160,9
밀레니얼머니스쿨,밀레니얼머니스쿨 ,57619,9
NewOrigin 뉴오리진,뉴오리진,53127,9
프랭클리-Frankly,프랭클리,119813,9
지티스,지티스,157413,9
유이크 UIQ,유이크,65223,9
SW19 Fragrance,SW19,28601,9
Rucipello/루치펠로,루치펠로,4526,9
토코보 Tocobo,토코보,31134,9
medipuppy,메디퍼피,166150,9
한끼통살,한끼통살,119672,9
Pyunkang yul,편강율,371,9
크런틴 CRUNTIN,크런틴,165177,9
엠제이드,엠제이드,31135,9
더잠 - TZM,더잠,65182,9
중등인강 1위 엠베스트,엠베스트,3921,9
조성아뷰티,조성아뷰티,753,9
청정원,청정원,216,9
비상교육 온리원,비상교육,4553,9
노일리 Noily,노일리,166164,9
퍼셀 Purcell,퍼셀,4406,8
천재교과서 밀크T초등,밀크T아이,19049,8
매일유업(Maeil),매일유업,185,8
HEI shoes,HEI,171903,8
Lukt,룩트,146247,8
모그라미 입으면 효율 200퍼,모그라미,71223,8
디어먼트,디어먼트,166178,8
피토틱스 Phytotics,피토틱스,97,8
플레이텍스,플레이텍스,166161,8
TS샴푸 - TS Shampoo,TS샴푸,33273,8
뮤엘토 Muelto,뮤엘토,168621,8
Golden piece 골든피스,골든피스,155341,8
Sergio Tacchini,세르지오 타키니,75523,8
스타라이크,스타라이크,162477,8
Beplain_official,비플레인,168,8
오하입,오하입,168585,8
제이엘브,제이엘브,154857,8
Klook,클룩,40978,8
Ohscent,오센트,99692,8
VINNE 빈느,빈느,152779,8
Rbfy,리바이포유,3904,8
티타드 TITAD,티타드,34135,8
포토그레이 - Photogray,포토그레이,4078,8
"자연식의 올바른 기준, 씽크라이크펫",씽크라이크펫,129914,8
Re:NK,리엔케이,66608,8
