branded_page_name,matched_brand_kr,brand_logo_id,count,verdict
원티드 wanted,원티드,64526,2,yes
Cuktech Asia ,쿡테크,152149,2,yes
놀로스토어 knollo store,놀로스토어,173901,2,yes
리오프 LIOF,리오프,171918,2,yes
Walt Disney Studios,디즈니,74,2,yes
잇퓨 it:fu,잇퓨,131397,2,yes
오브히 OVHEE,오브히,155276,2,yes
쥬베룩 스킨케어 - Juvelook Skincare,쥬베룩,165284,2,yes
The SAEM 더샘,더샘,31124,2,yes
AI Catch APP : AI Video Generator,캐치,99234,2,review
FRANZ Skincare,프란츠,159291,2,yes
비오엠 B.O.M,비오엠,153572,2,yes
"클라, CLA 페이지",Klarr,165939,2,review
Aveeno 아비노,아비노코리아,20597,2,yes
레시피박스 - Recipe box,레시피박스,148281,2,yes
Alivelab 얼라이브랩,얼라이브랩,4003,2,yes
Codegraphy I 코드그라피,코드그라피,242,2,yes
Tavo Pets,TG타보,129896,2,review
숲소리-Soopsori,숲소리,165147,2,yes
Nomanual STORE SEOUL,노매뉴얼,4319,2,yes
휴럼 사이언스,휴럼,129889,2,yes
아임비타 I’mvita,종근당,712,2,yes
페이히어 Payhere,페이히어,40411,2,yes
그립 Grip,그립,864,2,yes
Genspark AI,젠스파크,163807,2,yes
쿠팡 꿀템 모음집,쿠팡,87,2,review
Inertia 이너시아,이너시아,31157,2,yes
AMPLE:N (앰플엔),코리아나(앰플엔),3219,2,yes
둠벅_Doombug,둠벅,166301,2,yes
테일러센츠 taylorscents,테일러센츠,106736,2,yes
Seer.day,seer,166135,2,yes
퍼플리쉬_Purplish,퍼플리쉬,158740,2,yes
디즈니 코리아 Disney Korea,디즈니,74,2,yes
가히 KAHI,가히,152,2,yes
네츄럴굿띵스 Natural Good Things,네츄럴굿띵스,171951,2,yes
커스텀어클락-Costumeoclock,씨오리퍼블릭,82900,2,review
"감각적인 라이프스타일, 리브제 Livjet",리브제,152892,2,yes
웰더마 WellDerma,웰더마,162369,2,yes
La:shuim 라쉼,라쉼,166183,2,yes
동국제약 헬스케어 온라인,동국제약,3833,2,yes
은율 Eunyul,은율,151375,2,yes
키디키디 - 취향 육아 플랫폼,키디키디,164329,1,yes
Le Jour - 르주르,르주르,4303,1,yes
썸블라썸 Someblossom,썸블라썸,283,1,yes
Espionage N3756,에스피오나지,3381,1,yes
Veryhour 베리아워,베리아워,161886,1,yes
