branded_page_name,count,exact_match,exact_match_ci,r1_decor,r2_segment,r3_homoglyph
오브베이스,13,1,1,0,0,0
아모레퍼시픽 Amorepacific,13,0,0,0,1,0
카카오풋앤바디,13,0,0,0,0,0
베몽테스 Vemontes,13,0,0,0,0,0
맛있는아침식사,13,0,0,0,0,0
다이어트학교,13,1,1,0,0,0
BY LAB 바이랩,13,0,0,0,1,0
오로라렌즈,13,0,0,0,0,0
TeddyTales Korea,13,0,0,0,0,0
레디블룸 readybloom,13,0,0,0,1,0
hugvone_kr,13,0,0,0,0,0
HundoP,13,0,0,0,0,0
YDY Nutrition,13,0,0,0,0,0
밀리옹 Milliong Seoul,13,0,0,0,0,0
꿀템 소개소,13,0,0,0,0,0
비브비브-vivevive,13,0,0,0,1,0
춘몽-ChunMong,13,0,0,0,1,0
Papfashion,13,0,0,0,0,0
Kangol Korea,13,0,0,0,0,0
161 Mall,13,0,0,0,0,0
Hamit.to.gether,13,0,0,0,0,0
슬림9,13,1,1,0,0,0
어반사이드 urbanside,13,0,0,0,1,0
동성제약 Dongsung-Pharm,12,0,0,0,1,0
MJade,12,0,1,0,0,0
휘게 언더웨어,12,0,0,1,0,0
타입넘버,12,1,1,0,0,0
WAUG,12,1,1,0,0,0
purepot_official,12,0,0,0,0,0
아이디얼포맨 ideal for men,12,0,0,0,1,0
Kindoh - 킨도,12,0,0,0,1,0
테라로직,12,1,1,0,0,0
bulbum,12,0,0,0,0,0
AHC 에이에이치씨,12,0,0,0,1,0
InBody,12,1,1,0,0,0
NS_official,12,0,0,1,0,0
Dr.LIENJANG,12,0,1,0,0,0
알까기 샤브칼국수,12,0,0,0,0,0
말하는 공룡친구 카티,12,0,0,0,1,0
해플리 haply,12,0,0,0,0,0
912_Official,12,0,0,1,0,0
olmeraofficial,12,0,0,1,0,0
마테라소,12,1,1,0,0,0
Fonewlev,12,0,0,0,0,0
해서린,12,1,1,0,0,0
PoseGanch,12,0,1,0,0,0
뉴스,12,0,0,0,0,0
Bondaz.Official,12,0,0,1,0,0
Whoyouare_________,12,0,0,0,0,0
그로서리서울 Grocery Seoul,12,0,0,0,1,0
이너마음 비즈니스 페이지,12,0,0,0,0,0
Tage,12,1,1,0,0,0
플라이코지,12,1,1,0,0,0
ClayShop 클레이샵,12,0,0,0,0,0
이옴 - EIOM,12,0,0,0,1,0
10년이 지나도 똑같은,12,0,0,0,0,0
Sweetch,12,0,0,0,0,0
드립 drrip,12,0,0,0,0,0
마이노멀 : 건강함의 새로운 기준,12,0,0,0,0,0
온리추얼,12,1,1,0,0,0
WAYDN,12,1,1,0,0,0
Hang Ten Korea,12,0,0,1,0,0
VOGA,12,1,1,0,0,0
살림고수 추천템,12,0,0,0,0,0
플로에 PLOE,12,0,0,0,0,0
주다안 Judaan,12,0,0,0,1,0
Everben,12,0,0,0,0,0
청미정,12,1,1,0,0,0
리프톨로지 Liftology,12,0,0,0,0,0
pinkwonder_official,12,0,0,0,0,0
Sione,11,0,1,0,0,0
Leadermune,11,0,1,0,0,0
Genierr,11,0,1,0,0,0
다슈,11,1,1,0,0,0
Glysid,11,0,0,0,0,0
릴리바이레드 lilybyred,11,0,0,0,1,0
굿즈랩스튜디오,11,0,0,0,0,0
Abhplus.official,11,0,0,0,0,0
라우드소싱,11,1,1,0,0,0
유리피부,11,0,0,0,0,0
Xiaomi Korea,11,0,0,1,0,0
Brandless - 브랜드리스,11,0,0,0,1,0
Wechik,11,0,1,0,0,0
토비 Tobby,11,0,0,0,0,0
오렌즈,11,1,1,0,0,0
유팡 UPANG,11,0,0,0,1,0
신상 리뷰,11,0,0,0,0,0
아마겟돈 'AMA GET DON',11,0,0,0,0,0
탑헬스_official,11,0,0,0,0,0
루이뱅코리아,11,0,0,1,0,0
아델레아,11,1,1,0,0,0
꼼지락,11,1,1,0,0,0
프루티드 prooted,11,0,0,0,0,0
AI Photo&Video,11,0,0,0,0,0
언니가 사봤다,11,0,0,0,0,0
디마프 레지나,11,0,0,0,1,0
포렌코즈,11,1,1,0,0,0
쉐이크베이비,11,1,1,0,0,0
미소 Miso,11,0,0,0,1,0
코링코 Coringco,11,0,0,0,1,0
Chorokk,11,0,0,0,0,0
Pantene Korea,11,0,0,0,0,0
Lenbling,11,0,1,0,0,0
AMELI,11,0,1,0,0,0
숨37º,11,0,0,0,0,0
히말라야 나드,11,0,0,0,1,0
슬립퍼,11,1,1,0,0,0
큐원 상쾌환,11,0,0,0,1,0
"닥터리의 로하스밀 - 이유식, 육아정보",11,0,0,0,1,0
Pranarom Korea,11,0,0,1,0,0
MIMZ,11,1,1,0,0,0
JMW,11,1,1,0,0,0
danp.kr,11,0,0,1,0,0
Mumchit - 멈칫,10,0,0,0,1,0
Celebtok 셀럽톡,10,0,0,0,0,0
쿤달 - Kundal,10,0,0,0,1,0
미리캔버스,10,1,1,0,0,0
Airluv,10,0,0,0,0,0
1:1 실시간 화상영어 캠블리,10,0,0,0,1,0
Aero K 에어로케이항공,10,0,0,0,1,0
아이레시피 irecipe,10,0,0,0,1,0
akitz_crew,10,0,0,0,0,0
프롬비,10,1,1,0,0,0
BBOM,10,0,0,0,0,0
비상교육 온리원 중등,10,1,1,0,0,0
"취향이 깃든 공간을 만들어 가는 즐거움, 무브먼트랩",10,0,0,0,0,0
브라운 면도기 Braun Korea,10,0,0,0,1,0
Damchilock,10,0,0,0,0,0
Leivy_kr,10,0,0,0,0,0
딩동펫,10,0,0,0,0,0
