brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
293,키스미,Kissme,히로인메이크,NULL
294,실큰,Silk'n,NULL,NULL
295,DB손해보험,DB손해보험,NULL,NULL
296,인천광역시,인천광역시,NULL,NULL
297,클럽넘버원,"Club No.1",NULL,NULL
298,레드불,"Red Bull",NULL,NULL
299,포레오,Foreo,NULL,NULL
300,반다이남코코리아,"Bandainamco Korea","아머드코어, 철권",NULL
301,베르뷔,Verrvui,NULL,NULL
302,트리셀,Treecell,NULL,NULL
303,라덴스,"La dens",NULL,NULL
304,SK에코플랜트,"SK ecoplant",NULL,NULL
305,명심e다육,명심e다육,NULL,NULL
306,옛날짬뽕1973,옛날짬뽕1973,NULL,NULL
308,컬럼비아,Columbia,NULL,NULL
309,볼링매니아,"Bowling Mania",NULL,NULL
310,바트밋,"Bat' Meet",NULL,NULL
311,아스모디코리아,"Asmodee Korea",NULL,NULL
312,가연결혼정보,NULL,NULL,NULL
313,런던방앗간,NULL,NULL,NULL
314,바닐라코,"Banila co.",클린잇제로,NULL
315,일상적미식,NULL,NULL,NULL
316,어반사이드,Urbanside,NULL,NULL
317,모애당,NULL,NULL,NULL
318,플란투어21,Plantur21,NULL,NULL
319,브플먼트,Vpplement,NULL,NULL
320,성분에디터,"Sungboon Editor",그린토마토,NULL
321,아비브,Abib,NULL,abib.official
322,랩코스,Labcos,NULL,NULL
323,씨지스킨,"Sigi Skin",NULL,NULL
324,여기있어,NULL,NULL,NULL
325,아이템몬스터,NULL,NULL,NULL
326,마르셀린,NULL,NULL,NULL
327,비오비골프,NULL,NULL,NULL
328,퓌,Fwee,NULL,NULL
329,진주시상권활성화사업단,NULL,NULL,NULL
330,태학사,NULL,NULL,NULL
331,스틸시리즈,steelseries,NULL,NULL
333,라씨엘르,Lassie'el,NULL,NULL
334,커세어,Corsair,NULL,NULL
335,247시리즈,247Series,NULL,NULL
338,엔포커,NULL,NULL,NULL
339,오바다푸드,NULL,NULL,NULL
340,에픽,NULL,NULL,NULL
341,트리폴라,"Tri Pollar",NULL,NULL
342,투쿨포스쿨,"Too Cool For School",TAG,NULL
343,범맥주,NULL,NULL,NULL
344,익산시청,NULL,NULL,NULL
345,산타마리아노벨라,"Santa Maria Nobella",NULL,NULL
346,츠바키,Tsubaki,NULL,NULL
347,민트영어,NULL,NULL,NULL
348,메이크프렘,"Make Prem",NULL,NULL
349,육해장,NULL,NULL,NULL
350,고웰,NULL,NULL,NULL
351,스픽,Speak,NULL,NULL
352,닥터올가,Dr.Orga,NULL,NULL
353,VDL,VDL,"VDL, 브이디엘",NULL
354,씨케이디게런티드,"CKD gueranteed","락토덤, 종근당건강, 지엘핏",NULL
355,장어애,NULL,NULL,NULL
356,쿠시마사,NULL,NULL,NULL
357,파이넥스,NULL,NULL,NULL
358,영호수산,NULL,NULL,NULL
359,인생네컷,NULL,NULL,NULL
360,노사발전재단,NULL,NULL,NULL
361,채널A,NULL,NULL,NULL
362,하퍼스바자코리아,"Harper's Bazaar",NULL,NULL
363,워너브러더스코리아,"Warner Bros. Korea",아쿠아맨,NULL
364,인텔,intel,NULL,NULL
365,파스타입니다,NULL,NULL,NULL
366,홍루이젠,NULL,NULL,NULL
367,SK하이닉스,NULL,NULL,NULL
369,환경부,NULL,기후에너지환경부,NULL
370,위즈웰,Wiswell,NULL,NULL
371,편강율,"Pyunkang Yul",NULL,NULL
372,당근마켓,NULL,당근부동산,NULL
373,체인지벌스,NULL,NULL,NULL
374,카카오게임즈,"Kakao games",아레스,NULL
375,테그42,NULL,NULL,NULL
376,로보센,Robosen,NULL,NULL
377,SK플래닛,NULL,NULL,NULL
378,제주신화월드,NULL,NULL,NULL
379,스카이보드카,NULL,NULL,NULL
