from_app,from_model,from_table,from_field,from_column,relation_type,to_model,to_table,to_column,on_delete,null,from_col_in_schema,to_col_in_schema,from_table_used,to_table_used,file
partner,TrackedAd,ugwanggi_tracked_ad,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,False,True,True,True,True,partner/models.py
partner,TrackedAd,ugwanggi_tracked_ad,tracked_ad_folder_id,tracked_ad_folder_id,ForeignKey,TrackedAdFolder,ugwanggi_tracked_ad_folder,tracked_ad_folder_id,,False,True,True,True,True,partner/models.py
partner,TrackedAd,ugwanggi_tracked_ad,video_id,video_id,ForeignKey,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,partner/models.py
partner,TrackedAd,ugwanggi_tracked_ad,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,SET_NULL,True,True,True,True,True,partner/models.py
partner,TrackedAdStat,ugwanggi_tracked_ad_stat,video_id,video_id,ForeignKey,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,partner/models.py
partner,TrackedAdComment,ugwanggi_tracked_ad_comment,video_id,video_id,ForeignKey,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,partner/models.py
partner,TrackedAdComment,ugwanggi_tracked_ad_comment,parent_id,parent_id,ForeignKey,TrackedAdComment,ugwanggi_tracked_ad_comment,comment_id,,True,True,True,True,True,partner/models.py
partner,PartnerTeamTag,ugwanggi_partner_team_tag,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,False,True,True,True,True,partner/models.py
partner,PublicTrackedAdFolder,ugwanggi_public_tracked_ad_folder,tracked_ad_folder_id,tracked_ad_folder_id,ForeignKey,TrackedAdFolder,ugwanggi_tracked_ad_folder,tracked_ad_folder_id,,False,True,True,True,True,partner/models.py
partner,TrackedAdFolderKeyword,ugwanggi_tracked_ad_folder_keyword,tracked_ad_folder_id,tracked_ad_folder_id,ForeignKey,TrackedAdFolder,ugwanggi_tracked_ad_folder,tracked_ad_folder_id,,False,True,True,True,True,partner/models.py
partner,PartnerTeamBrand,ugwanggi_partner_team_brand,partner_team_id,partner_team_id,ForeignKey,PartnerTeam,ugwanggi_partner_team,partner_team_id,,False,True,True,True,True,partner/models.py
partner,PartnerTeamBrand,ugwanggi_partner_team_brand,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,,False,True,True,True,True,partner/models.py
aichat,AIChatHistory,ugwanggi_ai_chat_history,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,aichat/models.py
aichat,AIChatHistory,ugwanggi_ai_chat_history,blog_id,blog_id,ForeignKey,GeneratedBlog,ugwanggi_generated_blog,blog_id,,True,True,True,True,True,aichat/models.py
aichat,AIBlogVideo,ugwanggi_ai_blog_video,chat_history_id,chat_history_id,ForeignKey,AIChatHistory,ugwanggi_ai_chat_history,chat_history_id,,False,True,True,True,True,aichat/models.py
aichat,GeneratedBlog,ugwanggi_generated_blog,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,aichat/models.py
aichat,KakaoAnalysis,ugwanggi_kakao_analysis,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,CASCADE,False,True,True,True,True,aichat/models.py
aichat,KakaoVideoSplit,ugwanggi_kakao_video_split,video_id,video_id,ForeignKey,KakaoAnalysis,ugwanggi_kakao_analysis,video_id,,False,True,True,True,True,aichat/models.py
aichat,KakaoVideoMonitoring,test_kakao_video_monitoring,video_id,video_id,OneToOneField,KakaoAnalysis,ugwanggi_kakao_analysis,video_id,,False,True,True,True,True,aichat/models.py
aichat,KakaoVideoMonitoring,test_kakao_video_monitoring,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,aichat/models.py
aichat,AIImageGeneration,ugwanggi_ai_image_history,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,,False,True,True,True,True,aichat/models.py
